,id,title,description,manufacturer,price
0,b000jz4hqo,clickart 950 000 - premier image pack (dvd-rom),,broderbund,0.0
1,b0000dbykm,mia's math adventure: just in time,in mia's math adventure: just in time children will help mia save her house by using their math skills!,kutoka,19.99
2,b00029bqa2,disney's 1st & 2nd grade bundle (pixar 1st grade secret keys and aladdin reading quest),disney's 1st & 2nd grade bundle will help your child learn while challenging their imagination. skill-building activities will develop a love of education in your child. features disney/pixar buzz lightyear learning 1st grade aladdin reading quest and disney's search for the secret keys.,disney,14.99
3,b000i82j80,spy sweeper spanish,,webroot software,29.95
4,b00066dd5m,school zone pencil-pal software big phonics (cd-rom & book),,school zone interactive,0.0
5,b00002sac9,millie's math house ages 3-7 (win/mac),now featuring addition subtraction and counting to 30 the award-winning millie's math house has been enhanced to offer even more learning. in seven activities children explore numbers shapes sizes patterns addition and subtraction as they build mouse houses create wacky bugs count animated critters make jellybean cookies and answer math challenges posed by dorothy the duck. use the spanish language version for esl bilingual and spanish language instruction.,ibm (aap misc parts),0.0
6,b000o24l3q,adobe premiere pro cs3 upgrade,note: this is the upgrade version of adobe premiere pro cs3. tell your story with maximum impact using adobe premiere pro cs3 upgrade software the start-to-finish solution for efficient video production that now includes adobe encore cs3 and adobe onlocation cs3* (windows only) formerly the award-winning dv rack hd. save time from on-set capture using adobe onlocation through to output expand your creative options via integration with adobe after effects cs3 professional and photoshop and deliver your content to dvd blu-ray disc the web and mobile devices. the powerful editing finishing and delivery tools in adobe premiere pro are now available on both mac and windows operating systems. maintain control of your media with multiple project panels customizable panel display settings and instant file searches. export adobe encore cs3 projects as dvd blu-ray disc or flash. when you export as flash encore generates html flv and swf files that provide dvd-style chapter selection playback and interactivity through the flash player. capture edit and deliver to video dvd and the web adobe premiere pro cs3 software available for both mac and windows streamlines the entire video production process from direct-to-disk recording through editing to final delivery for tape disc the web and mobile devices. adobe premiere pro cs3 redefines productivity and flexibility for capturing editing and delivering video content. video professionals want to concentrate on storytelling--not on the nuts and bolts of production--and adobe premiere pro cs3 frees you to focus on telling your story. maximize image quality and work faster during shoots by using adobe onlocation cs3 software (requires windows and boot camp for mac ) included with adobe premiere pro to calibrate cameras monitor video signals and record directly to disk--all during the shoot. edit every major video format from dv to hd and beyond with adobe premiere pro cs3. improve efficiency and creativity with new workflow and new visual effects features. save time and expand creative options through tight integration with other adobe software including adobe after effects cs3 and adobe photoshop cs3. adobe encore cs3 software now included with adobe premiere pro cs3 lets you author once and then output to blu-ray disc dvd and flash swf for the web. adobe premiere pro supports additional delivery platforms including flash and mobile devices letting you reach the widest audience possible. audience benefit corporate and government video producers--adobe premiere pro cs3 provides the tools you need to ensure excellent production values while working quickly to stay on schedule. edit with precise control add stunning effects and move content smoothly to adobe after effects cs3 professional and photoshop for even more creative control. streamline the review process with adobe clip notes and output to multiple formats quickly and easily to reach more people everywhere. adobe premiere pro cs3 lets you communicate with high-quality video and imagery even with tight budgets and looming deadlines. event videographers--small crews and tight deadlines mean you need to work fast even while clients demand higher and higher production values. adobe premiere pro cs3 lets you capture events directly to disc with included adobe onlocation cs3* (windows only); work fast with precision editing tools including support for editing multicam shots; create compelling effects via tight integration with adobe after effects cs3 professional and photoshop cs3; and use the included copy of adobe encore cs3 to deliver content however your clients need it whether on dvd blu-ray disc the web or mobile devices. independent filmmakers--your passion is storytelling. your challenge is finding the right software to handle every aspect of the production process and deliver hollywood-quality imagery. adobe premiere pro cs3 meets this need with a complete toolset for capturing footage direct-to-disc editing imagery and creating titles in post-production producing dvds and delivering web-ready content to promote your films on the internet. and with the included video workshop and training materials you'll have help through every stage of production. post-production boutiques--enjoy advanced editing tools as well as the uncompromised image quality and real-time performance you need in professional broadcast and film post-production. work with all major formats enjoy powerful effects and media management tools get unparalleled integration with adobe after effects cs3 professional and photoshop software and increase efficiency with workflow enhancements such as adobe clip notes. with adobe premiere pro cs3 and adobe encore cs3 you can deliver your work in the format your client needs from adobe flash video through dvd and blu-ray disc to uncompressed hd. educators and students--adobe premiere pro cs3 offers a complete set of post-production tools that let you handle all aspects of filmmaking and post-production cost effectively from capturing and editing footage to creating titles dvds and promotional materials such as websites that feature video content. use flexible tools to express your creativity work with any file format on both windows and macintosh platforms and deliver your work across multiple media. what's new in adobe premiere pro cs3k dvd and blu-ray disc output with included adobe encore cs3 create dvd and blu-ray disc content with adobe encore cs3 software now included with adobe premiere pro cs3. work with the same encore authoring interface and features used to create standard-definition dvds. author once deliver twice: automatically convert your high-definition blu-ray disc projects to standard-definition dvds. high-quality slow motion with time remapping create dramatic slow- and fast-motion effects without exporting clips to another application. with precise keyframe control real-time feedback and excellent quality from advanced frame blending you can slow things down without compromising quality. or generate even better in-between frames through pixel-motion analysis with the timewarp effect. direct-to-disc recording with included adobe onlocation cs3* (windows only) save tape and time by eliminating capture from your production process. record sd and hd video directly to disc using adobe onlocation cs3 software included with adobe premiere pro cs3. instantly review each shot without shuttling tape. adobe onlocation automatically detects and flags problems to provide the best results. adobe encore cs3 projects for the web with one click easily create adobe flash versions of your dvd and blu-ray disc projects for the web. use adobe encore cs3 to create flash content complete with dvd interactivity and menus without learning flash programming. multiple project windows with smart file search find files faster with search tools that instantly update their results list as you type. sort and organize assets into multiple project windows each with its own graphical or text view setting. display and handle media files making project management easier and more efficient. professional on-set monitoring with adobe onlocation cs3 maximize camera image quality during shoots by using adobe onlocation cs3 to quickly calibrate your camera check levels and monitor your signal. use simple tools that function like their hardware equivalents to get results quickly and easily. the virtual reference monitor waveform monitor vectorscope and audio spectrum analyzer help you avoid problems and improve quality on location. create stunning slow-motion and other retiming effects directly in the timeline by setting and moving time remapping keyframe markers. improve the look of your video with the three-way color corrector and the other precision color-correction tools in adobe premiere pro. improved editing efficiency work faster with powerful and flexible editing tools. play video with nested audio sequences in real time without rendering. replace any clip in the timeline with a new clip while preserving the replaced clip's editing attributes and settings. use shortcuts to switch between workspace panels and save time. output for mobile devices make your video viewable on the latest delivery platforms. encode video for delivery to cell phones and other mobile devices and simulate playback on those devices to check video quality. download profile updates to simulate the latest devices. flash video export with markers converted to cue points encode video and audio for flash projects and web playback with direct flash video (flv) export. adobe premiere pro cs3 timeline markers become flash cue points that trigger interactivity and navigation. create flash video with ease. improve efficiency and incorporate a tapeless workflow during shoots by using adobe onlocation cs3* to monitor your camera's video signal and record it directly to a computer hard drive. the multi-camera window makes editing action recorded with several cameras or in multiple takes as easy as pointing and clicking. additional features efficient tools for creative editing create high-quality visual and editorial effects directly within the editing timeline. generate slow motion and other time-remapping effects with precise keyframe control and real-time feedback. add color correction lighting and other effects audio filters and more with fast flexible and built-in tools. edit footage from multicam shoots with ease and precision. comprehensive video format compatibility work with the formats you want. edit all standard- or high-definition formats from dv through hdv to hd and beyond (some formats may require additional hardware). broad range of supporting hardware and software for mac and windows choose from a wide range of mac and windows workstations and capture cards to build the editing system that exactly meets your needs and budget. enhance your system with additional plug-ins including many from adobe after effects software. dvd and blu-ray disc output with included adobe encore cs3 create dvd and blu-ray disc content with adobe encore cs3 software now included with adobe premiere pro cs3. work with the same encore authoring interface and features used to create standard-definition dvds. author once deliver twice: automatically convert your high-definition blu-ray disc projects to standard-definition dvds. superior integration with other adobe applications make the leading still and motion graphics applications adobe photoshop and after effects part of an efficient post-production workflow. import and animate photoshop layers. automatically create photoshop files that match the current project's frame size and aspect ratio. drag and drop or copy and paste clips and timelines between adobe premiere pro cs3 and after effects cs3 professional. direct-to-disc recording with included adobe onlocation cs3* (windows only) save tape and time by eliminating capture from your production process. record sd and hd video directly to disc using adobe onlocation cs3 software included with adobe premiere pro cs3. instantly review each shot without shuttling tape. adobe onlocation automatically detects and flags problems to provide the best results. professional on-set monitoring with adobe onlocation cs3 maximize camera image quality during shoots by using adobe onlocation cs3 to quickly calibrate your camera check levels and monitor your signal. use simple tools that function like their hardware equivalents to get results quickly and easily. the virtual reference monitor waveform monitor vectorscope and audio spectrum analyzer help you avoid problems and improve quality on location. delivery to the web and mobile devices make your video viewable on today's and tomorrow's delivery platforms. export as adobe flash video (flv). easily convert dvd projects complete with menus to flash swf files for web playback. encode for delivery to cell phones and other mobile devices and emulate playback on those devices to check playback quality. accelerated client review and approval with adobe clip notes expedite review cycles and avoid miscommunication with adobe clip notes. embed video into an adobe pdf file e-mail the file to your client to review and add timecode-specific comments and then view comments mapped to the adobe premiere pro cs3 timeline. multicam editing view multiple video tracks from a multiple-camera shoot easily sync via timecode and edit by switching between tracks in real time. rerecord sections of your edit make fine adjustments using all the standard timeline editing tools and easily adjust color correction across multiple shots even after editing. accelerated client review and approval with adobe clip notes expedite review cycles and avoid miscommunication with adobe clip notes. embed video into an adobe pdf file e-mail the file to your client to review and add timecode-specific comments and then view comments mapped to the adobe premiere pro cs3 timeline. mac os x compatibility use adobe premiere pro cs3 on the latest intel based macintosh computers. aaf and edl import/export exchange project metadata with major video film and audio applications via industry-standard advanced authoring format (aaf) aaf with edit protocol and edit decision list (edl) files (aaf import/export for windows only). comprehensive vtr support control video decks through rs-422 and rs-232 serial protocols or firewire for precise batch capturing recapturing and insert editing. file management with adobe bridge work more efficiently by using adobe bridge cs3 to search for and access your project files preview and apply settings run batch processes and tag assets with xmp metadata. * for macintosh users adobe onlocation requires boot camp and windows (purchased separately) or a separate windows based computer.,adobe,299.0
7,b000h22pg8,the print shop pro publisher 22 deluxe [dvd],the print shop pro publisher deluxe edition 22 gives you all the tools you need to design and publish professional business materials creative projects and web pages. a wealth of photo manipulation tools at your fingertips helps you get closer to the final product. see all that you can do with pro publisher deluxe. with pro publisher deluxe you can express your creativity promote your business design your own web site and much more all from one place. your complete source for designing powerful publications for all of your home and business needs pro publisher deluxe lets you create banners letterhead business cards postcards and more. find out which version of the print shop is right for you. 22 000 templates and 400 000 images at your fingertips with 22 000 pre-designed project templates to choose from it's easy to start your next project from scratch. pro publisher deluxe features flexible design and layout tools more than 850 fonts a complete logo creator and several professional quality printing options that will help you tailor your projects to your precise needs. you can design layouts for multimedia presentations letterhead business cards greeting cards forms multi-page brochures stationery sets cd/dvd labels newsletters and much more. a multi-page booklet template helps you create exciting projects including programs menus informational pamphlets brochures and more. you can even turn your family's history into a work of art with the unique and fun-to-use family tree templates! pro publisher deluxe offers a wider variety of paper sizes with several new templates including 4x6 inches for notecards and postcard 11x17 inch pages and square 6x6 8x8 and 12x12 page sizes. when it's time to add the perfect image to your project pro publisher deluxe features a gallery for more than 400 000 premium images (including 5 000 getty images) that include photos graphics illustrations web art backgrounds and textures seasonal images and more. you'll always have the ideal template and the perfect image to complete your project. the program also includes 3 100 sentiments so you'll have the precise tools to add the perfect phrase or quote to your design. an advanced search function lets you conveniently search for a project template or image by type tone category or keyword. when you purchase pro publisher deluxe you also receive a full year of free access to the million image club where you will find even more images to complement your designs. advanced design and print tools a convenient pdf tool lets you easily convert your projects and images into pdf files for easy sharing while maintaining high resolution and color accuracy. you also have access to tools that let you create sophisticated web pages with no html coding skills required. simple drag-and-drop capabilities allow you to move images and text to where you want them. some of the advanced html features include dynamic web templates rollover effects hotspots online form creation and spell check. professional graphic tools give you the power to manipulate your images so that you can take your business communications to the next level. with pro publisher deluxe you'll master tools that let you create and edit vector art create 3-d shapes add 3-d texture effects and even draw using pastel charcoal and watercolor. and when it's time to print pro publisher deluxe offers the advantages of several professional print options such as borderless printing and printing directly on printable cds/dvds. you can print multiple labels with a variety of images or text simultaneously on one sheet -- a feature that's perfect for mass mailings or customizing a variety of labels with ease. you can even personalize your ipod skin with your favorite photo pictures of your friends a cool design or more. these are only some of the many ways that pro publisher deluxe can help you business grow and your personal projects thrive. the possibilities are endless; the only limit with pro publisher deluxe is your imagination.,encore,99.99
8,b000bl40dg,x-oom movie clone 3 gold,copy complete original dvds just your favorite scenes or remove extras you don't want. featuring a user-friendly interface and unique compression technology x-oom movie clone 3 gold rapidly burns flawless copies of dvds and cds. turn your divx collection & avi movie files into dvds and watch them on your dvd player. of course you can take your favorite movie with you on your pda. thanks to x-oom movie clone 3 gold's versatile conversion features you can turn any dvd into any format you like f.e. divx® avi wmv real® or even into vcds or svcds.whatever you copy you'll be thrilled with the backup speed and quality tristep technology delivers extremely fast backups - entire dvds copied in minutes! complete 1 - 1 dvd backups or movie only mode including selected languages simultaneous copy and burn operations powerful transcoding technology allows you to fit larger dvd movies (9 gb) onto standard blank dvds (4.7 gb) automatic re-authoring features allow you to split backup copies across more than one disk transfer a dvd movie to vcd or svcd 1 - 1 audio copying for perfect sound quality including stereo 5.1 surround dts and dolby digital highspeed conversion of dvds into divx- avi- wmv- or even cell phone-fileformat (new!) highspeed conversion of any divx- avi- wmv-/real-movie file into dvd or svcd format (new!) intuitive user-friendly interface makes operation simple backups will play in any standard dvd player,x-oom,0.0
9,b0007g9760,lavasoft ad-aware plus edition,with its award-winning technology ad-aware plus edition puts you in complete control. it offers you the highest level of protection from both known and unknown threats such as data-mining aggressive advertising parasites scumware selected traditional trolans dialers malware browser hijackers and tracking components. ad-aware plusedition offers you all the power of the personal edition but has been enhanced with additional powerful features to protect your privacy. ad-watch s real-time monitor goes beyond what other security suites offer by adding another layer of protection to your system. ad-aware plus with ad-watch allows you not only to detect privacy threats to your computer; you can also block them from integrating into your system in the first place! system requirements: windows 95/98/me/nt/2000/xp/2003 and ms terminal services,tri synergy,29.99
